player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
41758,J Overton,Right hand Bat,Right arm Fast,Unknown,Jamie Overton,Jamie Overton,https://www.espncricinfo.com/cricketers/jamie-overton-510530
41785,Ashwani Kumar,Left hand Bat,Left arm Medium,Unknown,Ashwani Kumar,Ashwani Kumar,https://www.espncricinfo.com/cricketers/ashwani-kumar-1209126
41851,PHKD Mendis,Left hand Bat,"Right arm Offbreak, Slow Left arm Orthodox",Unknown,Kamindu Mendis,Kamindu Mendis,https://www.espncricinfo.com/cricketers/kamindu-mendis-784373
42116,Himmat Singh,Right hand Bat,Right arm Offbreak,Unknown,Himmat Singh,Himmat Singh,https://www.espncricinfo.com/cricketers/himmat-singh-805235
42133,E Malinga,Left hand Bat,Right arm Fast medium,Unknown,Kiribathgala Kankanamalage Eshan Malinga Dharmasena,Kiribathgala Kankanamalage,
42206,SK Rasheed,Right hand Bat,Legbreak,Unknown,Shaik Rasheed,Shaik Rasheed,https://www.espncricinfo.com/cricketers/shaik-rasheed-1292497
42220,JP Inglis,Right hand Bat,None,Wicketkeeper,Joshua Patrick Inglis,Joshua Patrick,
42226,XC Bartlett,Right hand Bat,Right arm Fast medium,Unknown,Xavier Colin Bartlett,Xavier Colin,
43253,C Bosch,Right hand Bat,Right arm Fast medium,Unknown,Corbin Bosch,Corbin Bosch,https://www.espncricinfo.com/cricketers/corbin-bosch-594322
43282,JG Bethell,Left hand Bat,Slow Left arm Orthodox,Unknown,Jacob Graham Bethell,Jacob Graham,
43300,Karim Janat,Right hand Bat,Right arm Medium,Unknown,Karim Janat,Karim Janat,https://www.espncricinfo.com/cricketers/karim-janat-793467
43451,KS Rathore,Left hand Bat,None,Wicketkeeper,Kunal Singh Rathore,Kunal Singh,
43548,Urvil Patel,Right hand Bat,None,Wicketkeeper,Urvil Mukesh Patel,Urvil Mukesh,
43574,M Tiwari,Right hand Bat,Right arm Medium fast,Unknown,Madhav Tiwari,Madhav Tiwari,https://www.espncricinfo.com/cricketers/madhav-tiwari-1460385
43582,MJ Owen,Right hand Bat,None,Right arm Medium,Mitchell J Owen,Mitchell J,
43638,W O'Rourke,Right hand Bat,Right arm Fast,Right arm Fast,William Peter O'Rourke,William Peter,
43649,Harsh Dubey,Left hand Bat,Slow Left arm Orthodox,Unknown,Harsh Surendra Dubey,Harsh Surendra,
43820,MP Breetzke,Right hand Bat,None,Wicketkeeper,Matthew Paul Breetzke,Matthew Paul,
43849,Musheer Khan,Right hand Bat,Slow Left arm Orthodox,Unknown,Musheer Khan,Musheer Khan,https://www.espncricinfo.com/cricketers/musheer-khan-1316430
43881,BKG Mendis,Right hand Bat,Legbreak,Unknown,Kusal Mendis,Kusal Mendis,
43954,Sediqullah Atal,Left hand Bat,None,Unknown,Sediqullah Atal,Sediqullah Atal,
3388,Arshdeep Singh,Left hand Bat,Left arm Medium fast,Unknown,Arshdeep Singh,Arshdeep Singh,https://www.espncricinfo.com/cricketers/arshdeep-singh-1125976
34356,DAJ Bracewell,Right hand Bat,Right arm Fast medium,Unknown,Douglas Andrew John Bracewell,Douglas Andrew,
1970,AD Hales,Right hand Bat,Right arm Medium,Occasional Wicketkeeper,Alexander Daniel Hales,Alexander Daniel,
161,DT Christian,Right hand Bat,Right arm Fast medium,Unknown,Daniel Trevor Christian,Daniel Trevor,
12414,YV Takawale,Right hand Bat,None,Wicketkeeper,Yogesh Vijay Takawale,Yogesh Vijay,
62,CR Woakes,Right hand Bat,Right arm Fast medium,Unknown,Christopher Roger Woakes,Christopher Roger,
77,T Natarajan,Left hand Bat,Left arm Medium,Unknown,Thangarasu Natarajan,Thangarasu Natarajan,
5354,KA Jamieson,Right hand Bat,Right arm Fast medium,Unknown,Kyle Alex Jamieson,Kyle Alex,
13231,KP Pietersen,Right hand Bat,Right arm Offbreak,Unknown,Kevin Peter Pietersen,Kevin Peter,
11948,Joginder Sharma,Right hand Bat,Right arm Fast medium,Unknown,Joginder Sharma,Joginder Sharma,
13220,T Henderson,Right hand Bat,Right arm Fast medium,Unknown,Tyron Henderson,Tyron Henderson,
15837,UBT Chand,Right hand Bat,Right arm Offbreak,Unknown,Unmukt Bharat Thakur Chand,Unmukt Bharat,
12008,Y Venugopal Rao,Right hand Bat,Right arm Offbreak,Unknown,Yalaka Venugopal Rao,Yalaka Venugopal,
471,NM Coulter-Nile,Right hand Bat,Right arm Fast,Unknown,Nathan Mitchell Coulter-Nile,Nathan Mitchell,
34706,T Mishra,Right hand Bat,Right arm Fast medium,Unknown,Tanmay Mishra,Tanmay Mishra,
14481,AG Murtaza,Left hand Bat,Slow Left arm Orthodox,Unknown,Ali Ghulam Murtaza,Ali Ghulam,
3718,S Sandeep Warrier,Right hand Bat,Right arm Medium,Unknown,Sankarankutty Sandeep Warrier,Sankarankutty Sandeep,
8626,WD Parnell,Left hand Bat,Left arm Medium fast,Unknown,Wayne Dillon Parnell,Wayne Dillon,
546,Gurkeerat Singh,Right hand Bat,Right arm Offbreak,Unknown,Gurkeerat Rupinder Singh,Gurkeerat Rupinder,
14961,KB Arun Karthik,Right hand Bat,Legbreak Googly,Occasional Wicketkeeper,Konda Bhaskir Arun Karthik,Konda Bhaskir,
12046,Pankaj Singh,Right hand Bat,Right arm Medium fast,Unknown,Pankaj Singh,Pankaj Singh,
245,AB de Villiers,Right hand Bat,Right arm Medium,Wicketkeeper,Abraham Benjamin de Villiers,Abraham Benjamin,
4771,CJ Green,Right hand Bat,Right arm Offbreak,Unknown,Christopher James Green,Christopher James,
48,AJ Finch,Right hand Bat,Slow Left arm Orthodox,Unknown,Aaron James Finch,Aaron James,
9069,D Wiese,Right hand Bat,Right arm Medium fast,Unknown,David Wiese,David Wiese,
4023,JL Pattinson,Left hand Bat,Right arm Fast medium,Unknown,James Lee Pattinson,James Lee,
11935,MV Boucher,Right hand Bat,Right arm Medium,Wicketkeeper,Mark Verdon Boucher,Mark Verdon,
34171,RW Price,Right hand Bat,Slow Left arm Orthodox,Unknown,Raymond William Price,Raymond William,
13026,A Mukund,Left hand Bat,Legbreak Googly,Unknown,Abhinav Mukund,Abhinav Mukund,
6717,OF Smith,Right hand Bat,Right arm Fast medium,Unknown,Odean Fabian Smith,Odean Fabian,
767,Anureet Singh,Right hand Bat,Right arm Medium,Unknown,Kathuria Anureet Singh,Kathuria Anureet,
35146,BB Samantray,Right hand Bat,Right arm Medium,Unknown,Biplab Bipin Samantray,Biplab Bipin,
39661,GS Sandhu,Left hand Bat,Right arm Fast medium,Unknown,Gurinder Singh Sandhu,Gurinder Singh,
1452,B Laughlin,Right hand Bat,Right arm Fast medium,Unknown,Ben Laughlin,Ben Laughlin,
14520,RS Gavaskar,Left hand Bat,Slow Left arm Orthodox,Unknown,Rohan Sunil Gavaskar,Rohan Sunil,
2703,Navdeep Saini,Right hand Bat,Right arm Fast,Unknown,Navdeep Saini,Navdeep Saini,
10152,Azmatullah Omarzai,Right hand Bat,Right arm Medium fast,Unknown,Azmatullah Omarzai,Azmatullah Omarzai,https://www.espncricinfo.com/cricketers/azmatullah-omarzai-819429
10528,Kumar Kushagra,Right hand Bat,None,Wicketkeeper,Kumar Kushagra,Kumar Kushagra,https://www.espncricinfo.com/cricketers/kumar-kushagra-1207295
11640,Shivam Singh,Right hand Bat,Right arm Offbreak,Unknown,Shivam Singh,Shivam Singh,
10456,Ashutosh Sharma,Right hand Bat,None,Unknown,Ashutosh Sharma,Ashutosh Sharma,https://www.espncricinfo.com/cricketers/ashutosh-sharma-1131978
10302,MP Yadav,Right hand Bat,Right arm Fast,Unknown,Mayank Yadav,Mayank Yadav,https://www.espncricinfo.com/cricketers/mayank-yadav-1292563
10303,M Siddharth,Right hand Bat,Slow Left arm Orthodox,Unknown,Manimaran Siddharth,Manimaran Siddharth,
10548,BR Sharath,Right hand Bat,None,Wicketkeeper,Belur Ravi Sharath,Belur Ravi,
11562,T Kohler-Cadmore,Right hand Bat,Right arm Offbreak,Wicketkeeper,Tom Kohler-Cadmore,Tom Kohler,
11810,PVSN Raju,Left hand Bat,Right arm Medium fast,Unknown,Penumatsa Venkata Satyanarayana Raju,Penumatsa Venkata,
11833,DS Rathi,Right hand Bat,Legbreak,Unknown,Digvesh Singh Rathi,Digvesh Singh,https://www.espncricinfo.com/cricketers/digvesh-rathi-1460529
42511,MS Bhandage,Left hand Bat,Right arm Medium fast,Unknown,Manoj Shivaramsa Bhandage,Manoj Shivaramsa,
42566,V Suryavanshi,Left hand Bat,Slow Left arm Orthodox,Unknown,Vaibhav Suryavanshi,Vaibhav Suryavanshi,https://www.espncricinfo.com/cricketers/vaibhav-suryavanshi-1408688
42603,A Mhatre,Right hand Bat,Right arm Offbreak,Unknown,Ayush Mhatre,Ayush Mhatre,
38,MS Dhoni,Right hand Bat,Right arm Medium,Wicketkeeper,Mahendra Singh Dhoni,Mahendra Singh,
38515,K Santokie,Left hand Bat,Left arm Medium,Unknown,Krishmar Santokie,Krishmar Santokie,
15049,C Ganapathy,Right hand Bat,Right arm Medium,Unknown,Chandrasekar Ganapathy,Chandrasekar Ganapathy,
6715,RA Bawa,Left hand Bat,Right arm Medium fast,Unknown,RajÂ AngadÂ Bawa,RajÂ AngadÂ,
318,UT Yadav,Right hand Bat,Right arm Fast,Unknown,Umeshkumar Tilak Yadav,Umeshkumar Tilak,
16414,KMDN Kulasekara,Right hand Bat,Right arm Fast medium,Unknown,Kulasekara Mudiyanselage Dinesh Nuwan Kulasekara,Kulasekara Mudiyanselage,
37,BA Stokes,Left hand Bat,Right arm Fast medium,Unknown,Benjamin Andrew Stokes,Benjamin Andrew,
1986,MK Lomror,Left hand Bat,Slow Left arm Orthodox,Unknown,Mahipal Krishan Lomror,Mahipal Krishan,
6212,T Shamsi,Right hand Bat,Left arm Wrist spin,Unknown,Tabraiz Shamsi,Tabraiz Shamsi,
3505,SE Rutherford,Left hand Bat,Right arm Fast medium,Unknown,Sherfane Eviston Rutherford,Sherfane Eviston,
34817,Azhar Mahmood,Right hand Bat,Right arm Fast medium,Unknown,Azhar Mahmood Sagar,Azhar Mahmood,
4146,TU Deshpande,Left hand Bat,Right arm Medium,Unknown,Tushar Uday Deshpande,Tushar Uday,
11987,DJ Thornely,Right hand Bat,"Right arm Medium, Right arm Offbreak",Unknown,Dominic John Thornely,Dominic John,
11928,M Kartik,Left hand Bat,Slow Left arm Orthodox,Unknown,Murali Kartik,Murali Kartik,
297,Mustafizur Rahman,Left hand Bat,Left arm Fast medium,Unknown,Mustafizur Rahman,Mustafizur Rahman,
8400,RJW Topley,Right hand Bat,Left arm Fast medium,Unknown,Reece James William Topley,Reece James,
13458,KP Appanna,Right hand Bat,Slow Left arm Orthodox,Unknown,Kotarangada Prabhu Appanna,Kotarangada Prabhu,
6245,NT Ellis,Right hand Bat,Right arm Fast medium,Unknown,Nathan Ellis,Nathan Ellis,https://www.espncricinfo.com/cricketers/nathan-ellis-826915
1416,R Ashwin,Right hand Bat,Right arm Offbreak,Unknown,Ravichandran Ashwin,Ravichandran Ashwin,https://www.espncricinfo.com/cricketers/ravichandran-ashwin-26421
7947,T Stubbs,Right hand Bat,Right arm Offbreak,Wicketkeeper,Tristan Stubbs,Tristan Stubbs,https://www.espncricinfo.com/cricketers/tristan-stubbs-595978
1443,DJM Short,Left hand Bat,Left arm Wrist spin,Unknown,D'Arcy John Matthew Short,D'Arcy John,
811,IK Pathan,Left hand Bat,Left arm Medium fast,Unknown,Irfan Khan Pathan,Irfan Khan,
634,AD Nath,Right hand Bat,Right arm Medium fast,Unknown,Akshdeep Deependra Nath,Akshdeep Deependra,
14485,AA Jhunjhunwala,Right hand Bat,Right arm Offbreak,Unknown,Abhishek Arunkumar Jhunjhunwala,Abhishek Arunkumar,
180,SV Samson,Right hand Bat,None,Wicketkeeper,Sanju Viswanath Samson,Sanju Viswanath,
12221,TM Srivastava,Left hand Bat,Right arm Medium,Unknown,Tanmay Manoj Srivastava,Tanmay Manoj,
6036,Akash Singh,Right hand Bat,Left arm Medium fast,Unknown,Akash Maharaj Singh,Akash Maharaj,
35030,R Shukla,Right hand Bat,Right arm Medium,Unknown,Rahul Shukla,Rahul Shukla,
12160,A Kumble,Right hand Bat,Legbreak Googly,Unknown,Anil Kumble,Anil Kumble,
12035,S Sohal,Right hand Bat,Legbreak,Unknown,Sunny Sohal,Sunny Sohal,
16007,JJ van der Wath,Right hand Bat,Right arm Medium fast,Unknown,Johannes Jacobus van der Wath,Johannes Jacobus,
13882,GJ Bailey,Right hand Bat,Right arm Medium,Unknown,George John Bailey,George John,
2719,JM Bairstow,Right hand Bat,Right arm Medium,Wicketkeeper,Jonathan Marc Bairstow,Jonathan Marc,
66,TA Boult,Right hand Bat,Left arm Fast medium,Unknown,Trent Alexander Boult,Trent Alexander,
258,CJ Anderson,Left hand Bat,Left arm Medium fast,Unknown,Corey James Anderson,Corey James,
7036,Ramandeep Singh,Right hand Bat,Right arm Medium,Unknown,Ramandeep Singh,Ramandeep Singh,https://www.espncricinfo.com/cricketers/ramandeep-singh-1079470
24,JC Buttler,Right hand Bat,None,Wicketkeeper,Joseph Charles Buttler,Joseph Charles,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Jos%20Buttler.png
35239,BW Hilfenhaus,Right hand Bat,Right arm Fast medium,Unknown,Benjamin William Hilfenhaus,Benjamin William,
5955,DJ Malan,Left hand Bat,Legbreak,Unknown,Dawid Johannes Malan,Dawid Johannes,
12107,GC Smith,Left hand Bat,Right arm Offbreak,Unknown,Graeme Craig Smith,Graeme Craig,
438,JD Unadkat,Right hand Bat,Left arm Medium,Unknown,Jaydev Dipakbhai Unadkat,Jaydev Dipakbhai,
2947,MJ Santner,Left hand Bat,Slow Left arm Orthodox,Unknown,Mitchell Josef Santner,Mitchell Josef,
348,RA Jadeja,Left hand Bat,Slow Left arm Orthodox,Unknown,Ravindrasinh Anirudhsinh Jadeja,Ravindrasinh Anirudhsinh,
16529,M Klinger,Right hand Bat,None,Unknown,Michael Klinger,Michael Klinger,
12193,DNT Zoysa,Left hand Bat,Left arm Fast medium,Unknown,Demuni Nuwan Tharanga Zoysa,Demuni Nuwan,
35322,PA Reddy,Right hand Bat,Legbreak,Unknown,Produturi Akshath Reddy,Produturi Akshath,
13271,FH Edwards,Right hand Bat,Right arm Fast,Unknown,Fidel Henderson Edwards,Fidel Henderson,
14353,Mohammad Ashraful,Right hand Bat,"Right arm Offbreak, Legbreak",Unknown,Mohammad Ashraful,Mohammad Ashraful,
12315,Salman Butt,Left hand Bat,Right arm Offbreak,Unknown,Salman Butt,Salman Butt,
9044,Abdul Basith,Right hand Bat,Right arm Offbreak,Unknown,Pappanayil Abdul Basith,Pappanayil Abdul,
4274,JDS Neesham,Left hand Bat,Right arm Medium fast,Unknown,James Douglas Sheahan Neesham,James Douglas,
11942,ML Hayden,Left hand Bat,Right arm Medium,Unknown,Matthew Lawrence Hayden,Matthew Lawrence,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_w_1280,q_80/lsci/db/PICTURES/CMS/319700/319706.png"
637,SS Agarwal,Right hand Bat,Legbreak Googly,Unknown,Shubham Sanjay Agarwal,Shubham Sanjay,
33,JJ Bumrah,Right hand Bat,Right arm Fast,Unknown,Jasprit Jasbirsingh Bumrah,Jasprit Jasbirsingh,
34931,A Chandila,Right hand Bat,Right arm Offbreak,Unknown,Ajit  Chandila,Ajit  Chandila,
697,DM Bravo,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Darren Michael Bravo,Darren Michael,
7077,HE van der Dussen,Right hand Bat,Legbreak,Unknown,Hendrik Erasmus van der Dussen,Hendrik Erasmus,
2934,P Ray Barman,Right hand Bat,Legbreak Googly,Unknown,Prayas Ray Barman,Prayas Ray,
2760,Rasikh Salam,Right hand Bat,Right arm Medium,Unknown,Rasikh Salam Dar,Rasikh Salam,
14729,AC Voges,Right hand Bat,Slow Left arm Orthodox,Unknown,Adam Charles Voges,Adam Charles,
1436,RK Singh,Left hand Bat,Right arm Offbreak,Unknown,Rinku Khanchand Singh,Rinku Khanchand,
1421,Q de Kock,Left hand Bat,None,Wicketkeeper,Quinton de Kock,Quinton de,
12523,L Balaji,Right hand Bat,Right arm Medium fast,Unknown,Lakshmipathy Balaji,Lakshmipathy Balaji,
6999,B Sai Sudharsan,Left hand Bat,Legbreak,Unknown,Bhardwaj Sai Sudharsan,Bhardwaj Sai,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Sai%20Sudharsan.png
5980,PWH de Silva,Right hand Bat,Legbreak,Unknown,Pinnaduwage Wanindu Hasaranga de Silva,Pinnaduwage Wanindu,
11990,AM Nayar,Left hand Bat,Right arm Medium,Unknown,Abhishek Mohan Nayar,Abhishek Mohan,
14505,MS Bisla,Right hand Bat,None,Wicketkeeper,Manvinder Sultansingh Bisla,Manvinder Sultansingh,
12009,VVS Laxman,Right hand Bat,Right arm Offbreak,Unknown,Vangipurappu Venkata Sai Laxman,Vangipurappu Venkata,
6795,D Pretorius,Right hand Bat,Right arm Medium fast,Unknown,Dwaine Pretorius,Dwaine Pretorius,
38322,VH Zol,Left hand Bat,Right arm Offbreak,Unknown,Vijay Hari Zol,Vijay Hari,
12093,VS Yeligati,Right hand Bat,Right arm Offbreak,Unknown,Vikrant Shyam Yeligati,Vikrant Shyam,
5408,JA Richardson,Right hand Bat,Right arm Fast,Unknown,Jhye Avon Richardson,Jhye Avon,
4071,D Padikkal,Left hand Bat,Right arm Offbreak,Unknown,Devdutt Padikkal,Devdutt Padikkal,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
15507,AG Paunikar,Right hand Bat,None,Wicketkeeper,Amit Gajanan Paunikar,Amit Gajanan,
11985,L Ronchi,Right hand Bat,None,Wicketkeeper,Luke Ronchi,Luke Ronchi,
34,AM Rahane,Right hand Bat,Right arm Medium,Unknown,Ajinkya Madhukar Rahane,Ajinkya Madhukar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ajinkya%20Rahane.png
13402,RR Bose,Right hand Bat,Right arm Fast medium,Unknown,Ranadeb Ranjit Bose,Ranadeb Ranjit,
36213,R Rampaul,Left hand Bat,Right arm Fast medium,Unknown,Ravindranath Rampaul,Ravindranath Rampaul,
12535,A Chopra,Right hand Bat,"Right arm Medium, Right arm Offbreak",Unknown,Aakash Chopra,Aakash Chopra,
11930,R Dravid,Right hand Bat,Right arm Offbreak,Occasional Wicketkeeper,Rahul Sharad Dravid,Rahul Sharad,
13973,C Nanda,Right hand Bat,Legbreak,Unknown,Chetanya Nanda,Chetanya Nanda,
4099,Abdul Samad,Right hand Bat,Legbreak,Unknown,Abdul Samad Farooq,Abdul Samad,https://www.espncricinfo.com/cricketers/abdul-samad-1175485
3284,LS Livingstone,Right hand Bat,"Right arm Offbreak, Legbreak",Unknown,Liam Stephen Livingstone,Liam Stephen,
7365,HR Shokeen,Right hand Bat,Right arm Offbreak,Unknown,Hrithik Rakesh Shokeen,Hrithik Rakesh,
7172,Yash Dayal,Right hand Bat,Left arm Medium fast,Unknown,Yash Dayal,Yash Dayal,https://www.espncricinfo.com/cricketers/yash-dayal-1159720
38691,Karanveer Singh,Right hand Bat,Legbreak Googly,Unknown,Karanveer Singh,Karanveer Singh,
15472,C Madan,Right hand Bat,None,Wicketkeeper,Chandan Madan,Chandan Madan,
10,YS Chahal,Right hand Bat,Legbreak Googly,Unknown,Yuzvendra Singh Chahal,Yuzvendra Singh,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Yuzvendra%20Chahal.png
16382,JE Taylor,Right hand Bat,Right arm Fast,Unknown,Jerome Everton Taylor,Jerome Everton,
11931,W Jaffer,Right hand Bat,Right arm Offbreak,Unknown,Wasim Jaffer,Wasim Jaffer,
14,MC Henriques,Right hand Bat,Right arm Fast medium,Unknown,Moises Constantino Henriques,Moises Constantino,
11936,B Akhil,Right hand Bat,Right arm Medium fast,Unknown,Balachandra Akhil,Balachandra Akhil,
1120,MJ Henry,Right hand Bat,Right arm Fast medium,Unknown,Matthew James Henry,Matthew James,
64,Kuldeep Yadav,Left hand Bat,Left arm Wrist spin,Unknown,Kuldeep Yadav,Kuldeep Yadav,https://www.espncricinfo.com/cricketers/kuldeep-yadav-559235
11975,V Sehwag,Right hand Bat,Right arm Offbreak,Unknown,Virender Sehwag,Virender Sehwag,
12017,PP Ojha,Left hand Bat,Slow Left arm Orthodox,Unknown,Pragyan Prayash Ojha,Pragyan Prayash,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322694.1.png"
8356,NA Saini,Right hand Bat,Right arm Fast,Unknown,Navdeep Amarjeet Saini,Navdeep Amarjeet,
